i,d,y,n,resid_ols,resid_wls
5,2025-01-26,115.9063918034505,22,16.95688991876311,16.924854003682555
5,2025-01-27,115.799604049457,21,17.205191442768793,17.173275910741495
5,2025-01-28,115.493288536542,17,17.250085729559345,17.21829029466464
5,2025-01-29,114.989372102542,18,19.004124098023496,18.949473577435725
5,2025-01-30,114.504123282968,19,18.86230679875453,18.80777583469137
5,2025-02-05,112.418204527279,16,18.75507314699999,18.701254551141915
5,2025-02-07,112.083670027257,19,19.048894149758965,18.99531137561543
5,2025-02-08,111.30872391976,24,18.582286743651068,18.528821623239267
5,2025-02-09,110.965024655398,18,18.54304091282151,18.489693289517163
5,2025-02-10,110.383730671682,22,18.262322106464737,18.20909183479685
5,2025-02-11,109.615795707116,24,17.791092222406547,17.737979168100523
5,2025-02-15,107.36186153975,21,16.68548061764534,16.632835315288418
5,2025-02-16,106.228575597334,21,15.82971164068401,15.77718305353531
5,2025-02-17,106.041098666394,24,15.91595447580012,15.86354253748084
5,2025-02-19,104.199575087381,23,14.61054437467034,14.558365580507171
5,2025-02-20,103.738356925014,23,14.411755488232288,14.35969321224988
5,2025-02-21,102.6994799937165,24,13.631581751144907,13.57963597266587
5,2025-02-22,102.2467720016885,24,13.43387142152352,13.38204213131958
5,2025-02-23,101.4770337741895,24,12.91544697106933,12.863734171364072
5,2025-02-24,100.800289824252,19,12.486355649377629,12.434759353845806
5,2025-02-26,110.272804021893,22,12.890724574111232,12.871352036365124
5,2025-02-27,109.621005187728,15,12.475742139537516,12.456486215638819
5,2025-03-01,108.6840717342345,24,12.001791243000483,11.982768736409184
5,2025-03-04,108.246505824729,21,12.232510384129782,12.213838648153086
5,2025-03-05,107.9981105457625,24,14.110648132501112,14.0691186300009
5,2025-03-06,107.70350083697,22,14.028564682056455,13.987152447727965
5,2025-03-07,107.505462307273,24,14.039711161460687,13.998416333931289
5,2025-03-08,107.696760674554,23,14.43688849173921,14.395711220816267
5,2025-03-10,106.756556241043,15,13.898669539338442,13.857727875545777
5,2025-03-11,106.993498733829,20,14.33179380497117,14.29097021382755
5,2025-03-12,107.093530387765,21,14.624851672849118,14.584146348405909
5,2025-03-13,106.442513163109,23,14.163745088020747,14.123158235254849
5,2025-03-15,105.7635678025935,24,13.855438821616602,13.81508957053191
5,2025-03-16,105.623027400931,22,13.895711404872088,13.855481305326293
5,2025-03-17,104.9576171252055,24,13.408167576204733,13.36805687623847
5,2025-03-18,104.431319479256,23,13.056834310262857,13.016843268507074
5,2025-03-19,103.942576202523,13,12.740198676064594,12.70032756166404
5,2025-03-20,103.676265717952,14,12.64318527148771,12.603434364021268
5,2025-03-22,103.2017653489925,22,12.499036219166726,12.459526605625229
5,2025-03-23,103.062511820503,23,12.520933379757437,12.481544873649156
5,2025-03-24,102.239403406576,23,11.856357968699697,11.81709089048239
5,2025-03-25,102.772592701413,21,12.545512772081494,12.506367452203037
5,2025-03-26,102.09745302192248,16,12.023822058460723,11.984798837261337
5,2025-03-27,101.6999641487545,24,11.777317304822276,11.738416532433789
5,2025-03-28,101.656945555672,23,11.882870410651591,11.844092446893882
5,2025-03-29,100.911154585234,19,11.28329185810432,11.244637072378808
5,2025-03-30,100.412161562252,23,10.928205809737776,10.889674580918097
5,2025-03-31,100.57006334084552,24,11.227763639635072,11.18935635595497
5,2025-04-01,100.34320298905853,16,11.140363601888083,11.102080660826601
5,2025-04-02,100.25336545484048,24,11.18784648024834,11.149688288412094
5,2025-04-03,99.9155396727825,23,10.985257678340162,10.947224651343035
5,2025-04-04,99.56069947465288,24,10.763628113486263,10.725720675826494
5,2025-04-05,99.21254458868114,24,10.54671519909924,10.508933784033715
5,2025-04-06,98.90837255296944,24,10.37187474102295,10.334219790439093
5,2025-04-09,98.39414712837856,12,10.234772738184418,10.197499916698163
5,2025-04-10,97.88135476948057,22,9.84426410275573,9.807119596952774
5,2025-04-11,97.7251925285974,23,9.808774659252052,9.771758952161079
5,2025-04-12,97.49836818525456,20,9.70107358252929,9.664187164987936
5,2025-04-13,97.1792546567569,15,9.499595643753793,9.462839014263466
5,2025-04-14,97.01045353579926,24,9.447004729709448,9.41037839428779
5,2025-04-16,103.711443183227,23,3.7670536165995827,3.7662863814533694
5,2025-04-17,103.6711208103785,12,3.839043191796449,3.8384078123608134
5,2025-04-18,103.340480500982,24,3.619542655752113,3.619039666590595
5,2025-04-19,103.068050261216,13,3.457144230950661,3.456774173373063
5,2025-04-20,102.958818256669,24,3.45690062714894,3.4566640490509144
5,2025-04-21,102.7444363511895,24,3.3505285611267936,3.350426016827967
5,2025-04-22,102.222377531206,18,2.935566161816098,2.935598211895936
5,2025-04-23,101.893879788345,22,4.623948138971855,4.6011404428147955
5,2025-04-24,101.713364037015,21,4.548898460080338,4.5262264975749815
5,2025-04-25,101.3195583408235,16,4.2598423893237936,4.237306738826646
5,2025-04-26,100.982155403297,23,4.026538737481886,4.004139982935115
5,2025-04-27,100.808104536623,23,3.956003116441309,3.93374184719994
5,2025-04-28,100.280152544829,13,3.531048802755535,3.508925613413112
5,2025-04-29,99.811346469094,23,3.1647894632861977,3.1428049534987537
5,2025-04-30,99.72092534821124,24,3.176530895950009,3.154685670258729
5,2025-05-01,99.2031992945473,19,2.760650085922933,2.7389447535751543
5,2025-05-02,99.31278499610286,12,2.97183068791216,2.9502658626810927
5,2025-05-03,98.9178651131556,23,2.678322402982346,2.6568987029855293
5,2025-05-04,98.6069884735313,24,2.4687411539885318,2.4474592015048557
5,2025-05-06,98.0382635059248,24,2.102526877672304,2.0815303027751497
5,2025-05-07,97.2161949377786,23,1.3818078927194506,1.3609549552930957
5,2025-05-08,96.982018038783,24,1.2491328948609919,1.2284242319768452
5,2025-05-09,96.17001972340744,22,0.5388558668733765,0.5182921188323348
5,2025-05-10,95.4535606880649,19,-0.07559549144323796,-0.09601368130036292
5,2025-05-11,95.61564146144,17,0.18884626723556153,0.16857428175281086
5,2025-05-12,94.7404781816317,19,-0.5835359049010975,-0.6036610371606628
5,2025-05-13,95.4769563989363,21,0.25621023221242467,0.23623260449119243
5,2025-05-14,95.30580630548886,24,0.18888141642480605,0.16905194683073432
5,2025-05-15,95.2742662239102,16,0.2617823523231664,0.24210169652523916
5,2025-05-16,94.1959011663314,13,-0.7114557493862463,-0.7309869338327815
5,2025-05-17,93.7096759240486,19,-1.0918021018122062,-1.1111831556605551
5,2025-05-18,94.40443651355196,24,-0.29034491537893814,-0.3095751778856908
5,2025-05-19,93.5743728568002,23,-1.0128287370147149,-1.031907546135514
5,2025-05-20,93.2117411631742,12,-1.2669320875900638,-1.2858587801754027
5,2025-05-21,92.5521965432646,23,-1.816934867444516,-1.835708779436061
5,2025-05-22,92.57854786568792,24,-1.679963518801756,-1.6985839854287832
5,2025-05-23,91.5897052300274,23,-2.557043571971448,-2.575509927947593
5,2025-05-25,91.0548906023915,19,-2.8646495948349298,-2.8828057325721232
5,2025-05-26,90.9340344766157,23,-2.869932724305542,-2.887932754408027
5,2025-05-27,89.74160351896845,12,-3.9453942189025923,-3.963237475990809
5,2025-05-29,89.7915737434222,23,-3.6570461350161736,-3.67457385201007
5,2025-05-30,89.1724007517704,20,-4.154687061424056,-4.1720560128660935
5,2025-05-31,88.8339502919302,19,-4.36996168814801,-4.387171211714545
5,2025-06-01,87.4291216257849,12,-5.6499100986629,-5.666959533284967
5,2025-06-02,87.435464600207,21,-5.516922295820407,-5.533810981879341
5,2025-06-03,88.5223177256602,24,-4.301600141046478,-4.318327420569105
5,2025-06-04,87.3753132064697,23,-5.318252341715919,-5.3348175585692985
5,2025-06-05,88.4578985744881,14,-4.103372834971793,-4.119775335057241
5,2025-06-06,87.81264902261566,24,-4.6143284715252975,-4.630567602972093
5,2025-06-08,88.3098702151355,23,-3.8422912688391335,-3.85820171727201
