i,T_M,T_L,T_L_label,L_days,L_years,retired,n_M,n_L,cost_total,EAC
1,30,120,120,1850,5.065,True,61.67,15.42,670.0,132.28
1,30,180,180,1823,4.991,True,60.77,10.13,603.83,120.982
1,30,240,240,1795,4.914,True,59.83,7.48,569.25,115.832
1,30,300,300,1771,4.849,True,59.03,5.9,547.94,113.007
1,30,360,360,1742,4.769,True,58.07,4.84,532.27,111.602
1,30,450,450,1694,4.638,True,56.47,3.76,514.57,110.949
1,30,540,540,1601,4.383,True,53.37,2.96,495.68,113.083
1,30,720,720,1738,4.758,True,57.93,2.41,502.77,105.659
1,30,99999,inf,1057,2.894,True,35.23,0.0,405.7,140.191
1,40,120,120,1815,4.969,True,45.38,15.12,617.62,124.291
1,40,180,180,1786,4.89,True,44.65,9.92,553.02,113.096
1,40,240,240,1765,4.832,True,44.12,7.35,520.62,107.738
1,40,300,300,1714,4.693,True,42.85,5.71,497.11,105.933
1,40,360,360,1702,4.66,True,42.55,4.73,484.38,103.949
1,40,450,450,1675,4.586,True,41.88,3.72,470.29,102.552
1,40,540,540,1548,4.238,True,38.7,2.87,450.5,106.295
1,40,720,720,1467,4.016,True,36.67,2.04,434.47,108.175
1,40,99999,inf,1038,2.842,True,25.95,0.0,377.85,132.957
1,50,120,120,1779,4.871,True,35.58,14.82,584.64,120.034
1,50,180,180,1752,4.797,True,35.04,9.73,521.92,108.808
1,50,240,240,1739,4.761,True,34.78,7.25,491.29,103.188
1,50,300,300,1683,4.608,True,33.66,5.61,468.3,101.632
1,50,360,360,1670,4.572,True,33.4,4.64,455.87,99.704
1,50,450,450,1660,4.545,True,33.2,3.69,443.87,97.664
1,50,540,540,1530,4.189,True,30.6,2.83,425.8,101.649
1,50,720,720,1363,3.732,True,27.26,1.89,404.5,108.395
1,50,99999,inf,1021,2.795,True,20.42,0.0,361.26,129.236
1,60,120,120,1747,4.783,True,29.12,14.56,562.05,117.509
1,60,180,180,1715,4.695,True,28.58,9.53,500.08,106.505
1,60,240,240,1697,4.646,True,28.28,7.07,469.7,101.095
1,60,300,300,1655,4.531,True,27.58,5.52,448.95,99.081
